Size,ICAO,IATA,City,Name,Max Runway,Lat,Long
Small,YOKV,,,Oak Valley Airport,,-29.517,130.867
Small,YVNS,,,Vaughan Springs Airport,,-22.333,130.867
Small,YAAL,,,Yarralin Airport,,-16.445,130.881
Small,YNUB,NUR,,Nullabor Motel Airport,3000 ft,-31.442,130.902
Small,YPME,,,Palmer Airport,,-12.833,130.933
Small,YKDM,,,Kidman Springs Airport,3000 ft,-16.117,130.953
Small,YVRD,VCD,,Victoria River Downs Airport,3000 ft,-16.402,131.005
Small,YBCR,,,Batchelor Airport,,-13.067,131.033
Small,YMKT,,,Emkaytee (Unlic) Airport,,-12.617,131.05
Small,YWAV,WAV,,Wave Hill Airport,3000 ft,-17.393,131.118
Small,YNHV,,,New Haven Airport,,-22.728,131.145
Small,YAMT,AMT,,Amata Airport,,-26.108,131.207
Small,YPGH,,,Pigeon Hole Airport,,-16.81,131.219
Small,YLBG,,,Mount Liebig Airport,,-23.243,131.26
Small,YISV,,,Innesvale Airport,,-15.383,131.267
Small,YCFD,CFI,,Camfield Airport,,-17.022,131.327
Small,YKCA,,,Kings Canyon Airport,,-24.26,131.49
Small,YOOO,,,Mooloola Homestead Airport,,-16.333,131.5
Small,YMEI,,,Mereenie Airport,,-23.977,131.562
Small,YMRA,,,Maralinga Airport,,-30.163,131.625
Small,YDMR,,,Delamere Station Airport,,-15.62,131.637
Small,YMUP,,,Mulga Park Airport,,-25.9,131.667
Small,YKLE,,,Killarney Airport,,-16.25,131.747
Small,YCSP,,,Curtin Springs Airport,,-25.317,131.75
Small,YYND,YUE,,YUENDUMU,4724 ft,-22.254,131.782
Small,YODA,,,Ooldea Airport,,-30.457,131.823
Small,YCPD,,,Cape Don Airport,,-11.298,131.827
Small,YPNC,,,Pine Creek Airport,,-13.833,131.833
Small,YKCS,KCS,,Kings Creek Airport,3000 ft,-24.423,131.835
Small,YHAA,,,Haasts Bluff Airport,3000 ft,-23.455,131.853
Small,YSAI,,,Saipem Airport,,-23.7,131.867
Small,YPAY,,,Papunya Airport,3000 ft,-23.247,131.903
Small,YMDY,,,MOUNT BUNDEY,3970 ft,-12.89,131.908
Small,YDWF,,,Delamere Range Facility Airport,,-15.747,131.92
Small,YVSH,,,Vashon Head Airport,,-11.15,131.983
Small,YFRG,,,Fregon Airport,3000 ft,-26.775,132.017
Small,YUMU,,,Umuwa Airport,,-26.487,132.04
Small,YMNN,,,Mount Denison Airport,,-22.142,132.07
Small,YSMP,SHU,,Smith Point Airport,,-11.15,132.15
Small,YMWE,,,Mount Wedge Airport,,-22.737,132.151
Small,YERN,ERB,,Ernabella Airport,3800 ft,-26.263,132.182
Small,YEMJ,,,Emu Junction Airport,,-28.633,132.183
Small,YMNA,,,Mount Allan Airport,,-22.275,132.217
Small,YNDR,,,Nundroo Airport,,-31.78,132.223
Small,YARN,,,Areyonga Airport,,-24.067,132.267
Small,YWLH,,,Wallara Ranch Airport,,-24.65,132.317
Small,YKHG,,,Katherine Gorge Airport,,-14.389,132.393
Small,YTPE,,,Tempe Downs Airport,,-24.382,132.423
Small,YKEN,,,Kenmore Park Airport,,-26.333,132.467
Small,YCKI,CKI,,Croker Island Airport,4700 ft,-11.165,132.483
Small,YCOO,CDA,,Cooinda Airport,3000 ft,-12.903,132.532
Small,YCNS,,,Coniston Airport,,-22.133,132.533
Small,YMIJ,,,Minjilang Airport,3500 ft,-11.158,132.547
Small,YIMA,,,Imanpa Airport,,-25.133,132.57
Small,YWLA,,,Willowra Airport,,-21.277,132.623
Small,YMBZ,,,Mount Ebenezer Airport,,-25.167,132.633
Small,YNWT,,,Narwietooma Airport,,-23.233,132.633
Small,YBTN,,,Barton Siding Airport,,-30.525,132.66
Small,YEVP,,,Everard Park Airport,,-27.017,132.717
Small,YHMB,HMG,,Hermannsburg Airport,3000 ft,-23.93,132.805
Small,YBMY,,,Bamyili Airport,2600 ft,-14.52,132.883
Small,YJAB,JAB,,JABIRU,4670 ft,-12.658,132.893
Small,YMUE,,,Mount Borradale Airport,,-12.098,132.907
Small,YCAN,,,Cannon Hill Community Airport,,-12.367,132.95
Small,YMPK,,,Milton Park Airport,,-23.367,133
Small,YPNG,,,Penong Airport,,-31.917,133
Small,YOEN,OPI,,OENPELLI,4331 ft,-12.325,133.006
Small,YANN,,,Anningie Airport,,-21.832,133.125
Small,YMKA,,,Mararanka Homestead Airport,,-14.932,133.125
Small,YABU,,,Amburla Airport,,-23.333,133.183
